Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Magenta EV,Mumbai,Renewable Energy,Magenta is in the business of Enabling electric mobility & Making electricity clean,"JITO Angel Network, LetsVenture","$15,000,000.00",Series A
Karbon Card,Bangalore,FinTech,Karbon Card is a financial platform for Indian entrepreneurs.,"MyAsia VC, Orios Venture Partners","$1,000,000.00",Pre-series A
Wysa,Bangalore,AI,Wysa is an AI conversational agent that has been shown to help improve mental health,"W Health Ventures, Pi Ventures","$5,000,000.00",Series A
Agnikul,Chennai,SpaceTech,"Agnikul is a space tech startup that designs, manufactures, tests, and launch orbital class rockets for micro and nano satellites.","Artha India Ventures, Sriram Krishnan","$11,000,000.00",Series A
LegalPay,New Delhi,FinTech,A trusted financial partner for advocates and corporate.,9Unicorns,$nan,Seed
Glamplus,Bangalore,SaaS,India's #1 SaaS based Salon experience Software,Inflection Point Ventures,"$200,000.00",Pre-series A
Tekie,Gurugram,EdTech,"Tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.","GSV, Multiply Ventures","$1,500,000.00",Seed
Asirvad Microfinance,Chennai,FinTech,Asirvad Microfinance provides microfinance loans to women from a poor and low-income households.,"WorldBusiness Capital, Northern Arc","$15,000,000.00",
Avalon Labs,Bangalore,FinTech,"Avalon Labs incubates, invests, partners with and spearheads technology companies that are on the cutting edge.","Tanglin Ventures, Better Capital, Whiteboard Capital",$nan,Pre-series A
Betterhalf.ai,Bangalore,Matrimony,India’s first and only matrimony app without parents. 10L verified profiles 20L matches 50K relationships 3K marriages,"Y Combinator, Rehan A Khan","$3,000,000.00",Pre-series A
Koo,Bangalore,Social Media,Koo App operates as a microblogging app.,"Balaji Srinivasan, Naval Ravikant","$30,000,000.00",Series B
Rezo.ai,Noida,AI,Conversational AI platform - Innovate the way you communicate,"Devesh Sachdev, Bhavesh Manglani",$nan,Seed
Mentoria,Mumbai,EdTech,Mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at.,"Pradeep K Jaisingh, Jayant Mehrotra","$200,000.00",Pre-series A
Cuvette Tech,Bangalore,Human Resources,Help startups to find interns who are verified on their software development skills and problem-solving abilities.,"Varun Alagh, Harish Daiya","$1,800,000.00",Seed
Clensta,New Delhi,BioTechnology,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,"IAN Fund, World Startup Factory","$600,000.00",
FarMart,Gurugram,AgriTech,FarMart is a micro-SaaS platform that helps food businesses source high quality produce at affordable prices,"Omidyar Network India, Avaana Capital","$24,000,000.00",Pre-series A
Kodo Card,Mumbai,FinTech,Kodo card is a corporate card for new economy businesses in India.,"Brex, Y-Combinator","$8,000,000.00",Seed
Polygon,Mumbai,Crypto,Polygon is a blockchain scalability platform.,"Mark Cuban, MiH Ventures",$nan,
Get My Parking,New Delhi,Mobility,"Get My Parking, is a B2B Platform-as-a-Service company.","IvyCap Ventures, IAN Fund","$6,000,000.00",
Cellestial,Hyderabad,Electronics,Cellestial E-mobility is a city-based startup working in developing electric tractors with the longest battery life.,"Gurj Aujla, Ashik K","$500,000.00",Pre-series A
FanCode,Mumbai,Sports,"FanCode is a multi sport aggregator platform for every sports fan, focusing on long trail sports content and contextual commerce.",Dream Sports,"$50,000,000.00",
Jai Kisan,Mumbai,FinTech,Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets,"The Chatterjee Group, Prophetic Ventures","$30,000,000.00",Series A
Plum,Bangalore,HealthCare,High quality health insurance and health benefits,"Harsh Jain, Lalit Keshre","$15,000,000.00",Series A
ThatMate,Satara,HealthCare,ThatMate is a sexual and mental wellness app for teens.,"Supriya Kumari, Premanshu Singh","$140,000.00",
Klassroom,Mumbai,EdTech,Klassroom offers a one-of-a-kind LIVE interactive learning experience to students.,ah! Ventures,"$200,000.00",Pre-series A
Convin,Bangalore,SaaS,Convin is a conversation intelligence platform that helps remote sales teams to understand conversations on a deeper levels.,"9Unicorns Accelerator Fund, Sunder Nookala","$300,000.00",Pre-seed
Mensa Brands,Bangalore,Clothing,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.","Accel Partners, Falcon Edge Capital, Norwest Venture Partners","$50,000,000.00",Series A
Disruptium,Ahmadabad,Consulting,A consultancy platform for startups,Pravesh Mehta,"$200,000.00",
MedTel Healthcare,Orissia,HealthCare,An aggregator for Digital Health Clinics in low resource settings.,,"$5,000,000.00",Pre-series A
Pickright Technologies,Bangalore,FinTech,Pickright is a fintech marketplace platform for stock market investors and the stock market advisors.,"Gaurav Gupta, Vivek Srivatsav","$200,000.00",
Ingenium,New Delhi,EdTech,Ingenium Education has been pushing e-learning by bringing small and medium sized institutes and schools online.,Lead Angels,$nan,Seed
BharatPe,New Delhi,FinTech,"BharatPe is the definitive platform for financial services. We process payments via UPI and POS, and provide credit / loans to our merchants","Amplo, Insight Partners","$6,000,000.00",Debt
RuleZero,Bangalore,Tech Startup,Rulezero is a technology platform created by experienced startup executives to automate and manage the equity ownership of a startup.,"Induslaw, Reddy Futures","$1,000,000.00",Seed
Rubix Data Sciences,Mumbai,IT,"Rubix Data Sciences focuses on simplifying decision making for Credit, Risk, Compliance, Supply Chain and Marketing professionals in the B2B domain.",,"$800,000.00",Seed
Locobuzz,Mumbai,Analytics,LocoBuzz is an analytics-based integrated marketing platform.,Yuj Ventures,"$4,000,000.00",Series A
We Founder Circle,Mumbai,FinTech,"A global platform of founders for founders offering investment, network and business opportunities.",Geekster,"$2,000,000.00",Pre-seed
Haqdarshak,Jaipur,Finance,Haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,"Manish Subramaniam, Upaya Social Ventures","$800,000.00",Pre-series A
Celcius,Mumbai,Logistics,The “ONLINE” Cold Chain network for Reefer trucks and Cold storage facilities.,Eaglewings Ventures,$nan,Seed
Enthu.ai,Chandigarh,AI,Enthu.AI operates as a conversation intelligence startup.,Appit Simple Infotek,"$200,000.00",
Myelin Foundry,Bangalore,AI,"Myelin Foundry is a deep tech product start-up transforming human experiences and industry outcomes by building Artificial Intelligence algorithms on video, voice, and sensor data, for consumer edge devices",Beyond Next Ventures,"$1,000,000.00",Pre-series A
SuperOps.ai,Chennai,AI,SuperOps.ai is an early stage startup in the MSP space.,"Ramakant Sharma, Elevation Capital","$3,000,000.00",Seed
6Degree,Mumbai,Retail,6Degree is a fashion retail startup that provides a launchpad to fashion talent and brands using a tech-enabled platform.,"Keiretsu Forum, SucSEED Venture Partners","$1,000,000.00",
Teachmint,Bangalore,EdTech,Teachmint is an online learning platform that focuses on tutor-student connectivity.,"Lightspeed India Partners, CM Ventures","$16,500,000.00",Series A
Sarathi,Jodhpur,HealthCare,"Offer a range of services like lab tests, consultation at home, nursing services, emergency services, and appointment management.",,"$100,000.00",Seed
Jidoka Technologies,Chennai,Software,"Deliver automation of visual inspection, retaining the power of human intelligence, to enhance quality and efficiency",,"$340,000.00",Seed
Rapido,Bangalore,Transportation,Rapido is a bike taxi service that encourages people to offer bike rides to other people.,"Skycatcher, Nexus Venture Partners","$43,000,000.00",Series C
BYJU'S,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Tiga Investments, Baron Capital","$150,000,000.00",
ElasticRun,Pune,E-commerce,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers.,"Avataar Venture Partners, Kalaari Capital","$75,000,000.00",Series D
Avail Finance,Bangalore,FinTech,Avail is a mobile-first platform aiming to financially include the urban mass of India.,"Alteria Capital, Matrix Partners India","$3,000,000.00",Debt
Nivesh,Noida,FinTech,Nivesh.com is a mass market mutual funds investment platform.,"Raghav Kapur, Indian Angel Network","$1,600,000.00",Pre-series A
Thingsup,Pune,IoT platform,Thingsup is an Enterprise Grade IoT Platform.,GSF Accelerator,"$1,000,000.00",
Arthya Wealth and Investments,Mumbai,FinTech,"A comprehensive, high quality, open-architecture based Wealth Management and Investment Advisory platform, to cater to investors across the board: Individuals, Businesses/Corporate Treasuries, Family Offices, Trusts and more.","Rishi Kumar Bagla, Krishen Lal Khanna","$1,000,000.00",Pre-series A
Zepto,Mumbai,E-commerce,Grocery delivery startup,"Glade Brook Capital, Nexus, Y Combinator","$60,000,000.00",
Fi,Bangalore,Financial Services,Fi is a neo bank.,"Capital Group, Falcon Edge","$50,000,000.00",Series B
Kiko Live,Gurugram,Commerce,Video-based social commerce startup,"Dinesh Agarwal, Amarjit Batra","$1,000,000.00",Pre-series A
TurboHire,Hyderabad,Computer Software,"Industry-leading augmented intelligence software for Talent Intelligence, Recruitment Automation, and Applicant Tracking","Arcilla, Samir Khosla",$nan,
The Hosteller,Mumbai,Hospitality,"Pit-stop for global as well as local travellers to relax, rejuvenate and experience India’s rich heritage while not worrying about a clean, safe and smart place to stay.","SUNiCON Ventures, Shubhkam Ventures, Jito Angel network, FAAD Network","$1,000,000.00",Pre-series A
SatSure,Bangalore,Defense & Space,SatSure is an innovative decision analytics company,Baring PE India,$nan,
Ruptok Fintech,New Delhi,Financial Services,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Manuvel Malabar Jewellers,"$2,000,000.00",Pre-series A
VilCart,Bangalore,Retail,Vilcart's motto is sustainable rural development through stability for rural retailers.,Nabventures,"$2,000,000.00",
Dogsee Chew,Bangalore,Food & Beverages,100% Natural Dog Treats.,Sixth Sense Ventures,"$7,000,000.00",Pre-series A
Advantage Club,Gurugram,HRTech,Advantage Club is India's largest employee engagement platform.,"Y Combinator, Jetty Ventures, Earlsfield Capital, SMC Advisors, Kunal Shah","$3,300,000.00",Pre-series A
TRDR,Bangalore,Financial Services,TRDR is an all-new approach to investing.,"Kunal Shah, Snehal Fulzele","$150,000.00",
Zoomcar,Bangalore,Mobility,Zoomcar holds the distinction of being India’s first personal mobility platform,SternAegis Ventures,"$92,000,000.00",
Leap India,Mumbai,Logistics & Supply Chain,"""Leading Enterprise in Asset Pooling"" India's Largest Sustainable Supply Chain Solutions Company.",CDC Group,"$10,000,000.00",
SuperBottoms,Mumbai,Consumer Goods,SuperBottoms was born out of a personal passion for cloth diapering that would give the convenience of diapers while not harming the environment and baby’s skin.,Alteria Capital,"$400,000.00",
Cora Health,Bangalore,Health,Social commerce marketplace for everyday health and wellness.,Indian Angel Network,"$600,000.00",Seed
Battery Smart,New Delhi,Renewables & Environment,Battery Smart is building India’s largest network of battery swapping stations providing Li-ion batteries,"Blume Ventures, Orios Ventures","$7,000,000.00",Pre-series A
The Good Glamm Group,Pune,Information Technology & Services,South Asia’s largest Content-to-Commerce scale-up investing $100 million in fast-growing beauty & personal care brands.,"Warburg Pincus﻿, Prosus Ventures","$150,000,000.00",Series D
Mosaic Wellness,Mumbai,Health,A platform of digital first health clinics for men and women,Sequoia,"$24,000,000.00",Series A
CloudFiles,Bangalore,SaaS,"Supercharge files with enterprise-grade security, page-by-page analytics and powerful content automations.",Titan Capital,"$300,000.00",Pre-seed
The Viral Fever,Mumbai,Entertainment,India's leading digital entertainment network.,BlackSoil,"$2,000,000.00",
Xpand,New Delhi,Retail,LMCE handholds brands and enables their reach across the UNSERVED & UNDER-SERVED pockets of the country in a SUSTAINABLE manner to drive MEASURABLE growth.,"Akash Prakash, Madhu Jayakumar, Dipinder Sandhu, Shagun Khandelwal","$1,500,000.00",Pre-series A
Troo Good,Hyderabad,E-commerce,An FMCG company selling nutritious products at an affordable price points.,OAKS Asset Management,"$7,000,000.00",Series A
Prodo,New Delhi,Business Supplies & Equipment,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.","Titan Capital, LetsVenture","$300,000.00",Pre-seed
